group,content,url,valence,arousal,dominance,moral1,moral2,moral3
lib,"A singer killed at a meet &amp; greet, and then 50 people are murdered at a nightclub and yet some people still think we don't need gun control",https://twitter.com/a/status/742017995296411648,0.215672608,0.801444548,0.465004046,0.988902207,0.415014834,0.13263312
con,"@OSU_EMFP thanks for putting ""fight"" in your response. The only thing that will stop a bad person with a gun is a good person with a gun",https://twitter.com/a/status/803260787099893760,0.82186996,0.66106916,0.035662998,0.075152604,0.937360462,0.900453142
lib,I knew that man that had they had put all over the news was not the shooter they so quick to blame a black man cause he had a gun #Dallas,https://twitter.com/a/status/751488792633151488,0.583020673,0.890824894,0.792330789,0.966200772,0.784005077,0.679826642
con,"When God is traded in for government, prayer gets traded in for law. - Erik Erikson in his latest article of why Left only talks gun control",https://twitter.com/a/status/751749324703461377,0.717057097,0.024636381,0.368988074,0.098140416,0.837281405,0.937054707
lib,"@rosadelauro As an Italian-American w/DEEP family roots in New Haven, I'm so proud to watch you speak out for gun control. #NoBillNoBreak",https://twitter.com/a/status/745841790591377408,0.285769855,0.037127445,0.557355311,0.209792973,0.571170219,0.673944811
con,Chapman was in tears because he gave up 3 runs so so sad...at least no one smacked his head against the wall or threatened him with a gun,https://twitter.com/a/status/794027490465300480,0.081746948,0.090996684,0.076282844,0.084179764,0.721375046,0.335038632
con,"So a muslim just killed 50 people at a gay bar. Of course, media won't tell you that. They'll just use it as a way to push gun control.",https://twitter.com/a/status/742005054375403520,0.201560709,0.311821404,0.69145496,0.794101131,0.488735662,0.763999618
lib,"@mca_29 so the only thing that stops a bad guy with a guy (after he's killed a minimum of around 10 people) is a good guy with a gun

Yeah..",https://twitter.com/a/status/742375869675626497,0.475976787,0.319916243,0.876309843,0.318880256,0.817456158,0.248439368
con,@shookw @scottpetri then explain it to me. b/cus u seem 2 say its okay 4 cops 2b scared of that guys gun but no1 should be scared of ur gun,https://twitter.com/a/status/750670391295741952,0.06878678,0.066181693,0.107483802,0.666998284,0.467311782,0.852677408
con,"So sad that we have a person in charge that can't even say the words ""radical islam"" and instead instantly goes to gun control ""wakeup",https://twitter.com/a/status/742152160163581953,0.219910488,0.678676427,0.45937178,0.038978921,0.824984566,0.052719401
lib,"I haven't seen the new ghostbusters yet but I would pay to see @Lesdoggg do anything for two hours, let alone run around NYC with a huge gun",https://twitter.com/a/status/755236591166042112,0.372472313,0.675175301,0.197785142,0.706939888,0.135460557,0.752220673
lib,All these people were doing was showing up to work..and they either lost their lives or were put in harms way because someone had a gun,https://twitter.com/a/status/744210593016602625,0.172640498,0.638593486,0.958873077,0.32921927,0.111522519,0.773952605
lib,"@RepHuizenga I, a 2nd district resident, stand in support with House and Senate Dems as they stage a sit in for gun reform. #NoBillNoBreak",https://twitter.com/a/status/745791467789127680,0.970224559,0.636834603,0.042950621,0.298046221,0.783877764,0.539606096
con,"@NateGreen27 @Browntk_1 @rickyftw don't put emphasis on the assault rifle. But I would agree with no, they shouldnt. Still not a gun issue.",https://twitter.com/a/status/742196439548301312,0.527129701,0.703690639,0.027740992,0.692135028,0.293812676,0.59398177
con,@1BBFAN This is after he took a taser like it was a cap gun. The cop didn't even draw his weapon until they knew he had a gun for sure.,https://twitter.com/a/status/751562664023724032,0.675729381,0.5982246,0.631706557,0.630330315,0.759960905,0.182810078
con,liberals R miserable human beings &amp; R only happy 4 a moment when they R taking something away from some1 &amp; even that only last 4 a second,https://twitter.com/a/status/828311682837598208,0.354591881,0.77895345,0.663685148,0.331783175,0.455755226,0.64532478
lib,Almost 4 years after sandy hook we have done nothing. --senator Chris Murphy. murphy has launched the first filibuster on gun control,https://twitter.com/a/status/743308529667235840,0.296386199,0.695608059,0.678604403,0.048342607,0.289052553,0.774149578
lib,This is so exhausting to watch happen time and time again. There is something fundamentally wrong with our culture and our gun laws. #Dallas,https://twitter.com/a/status/751271776647163904,0.498935702,0.398338644,0.569790855,0.020933568,0.91534897,0.563790836
lib,@marcorubio It's not enough to pray for victims in Orlando. You need to fight for them on Monday as my Senator. Plz vote for gun control.,https://twitter.com/a/status/744384786337259520,0.8141557,0.139660601,0.66656155,0.823016209,0.803482754,0.179135916
