,tweetId,tweetIdx,group,content,rawContent,screenName,valence,valenceGrpPred,valenceSeq,valenceSeqRank,dominance,dominanceGrpPred,dominanceSeq,dominanceSeqRank,care,careGrpPred,careSeq,careSeqRank,fairness,fairnessGrpPred,fairnessSeq,fairnessSeqRank,loyalty,loyaltyGrpPred,loyaltySeq,loyaltySeqRank,authority,authorityGrpPred,authoritySeq,authoritySeqRank,purity,purityGrpPred,puritySeq,puritySeqRank,pred,prob,pdpValue,clusterId
0,743291546179502086,0,1,listening to my wonderful <user> <hashtag> hold the floor </hashtag> and stand by americans who have had enough death from gun violence .,listening to my wonderful <user> <hashtag> hold the floor </hashtag> and stand by americans who have had enough death from gun violence .,User0,0.958333333,1,enough death,2.600101613,0.75,1,americans who have had enough death from gun violence,3.766566364,1,1,listening,2.049591863,2,1,americans who have had enough death from gun violence,2.361961292,3,0,</hashtag> and stand by americans who have had enough,2.678217637,3,0,listening,0.84574146,1,0,listening,0.790900858,1,1.0,"{'feature': 'valence', 'values': [{'pdpValue': 0.7445161290322581, 'featureValue': 0}, {'pdpValue': 0.4232258064516129, 'featureValue': 0.020833333}, {'pdpValue': 0.4441935483870968, 'featureValue': 0.041666667}, {'pdpValue': 0.41419354838709677, 'featureValue': 0.0625}, {'pdpValue': 0.3932258064516129, 'featureValue': 0.083333333}, {'pdpValue': 0.5558064516129032, 'featureValue': 0.104166667}, {'pdpValue': 0.5498387096774193, 'featureValue': 0.125}, {'pdpValue': 0.42338709677419356, 'featureValue': 0.145833333}, {'pdpValue': 0.43306451612903224, 'featureValue': 0.166666667}, {'pdpValue': 0.4587096774193548, 'featureValue': 0.1875}, {'pdpValue': 0.5351612903225806, 'featureValue': 0.208333333}, {'pdpValue': 0.5009677419354839, 'featureValue': 0.229166667}, {'pdpValue': 0.49838709677419357, 'featureValue': 0.25}, {'pdpValue': 0.4780645161290323, 'featureValue': 0.270833333}, {'pdpValue': 0.5283870967741936, 'featureValue': 0.291666667}, {'pdpValue': 0.5103225806451613, 'featureValue': 0.3125}, {'pdpValue': 0.5920967741935483, 'featureValue': 0.333333333}, {'pdpValue': 0.575, 'featureValue': 0.354166667}, {'pdpValue': 0.5670967741935482, 'featureValue': 0.375}, {'pdpValue': 0.6140860215053762, 'featureValue': 0.395833333}, {'pdpValue': 0.6005376344086021, 'featureValue': 0.416666667}, {'pdpValue': 0.5599999999999997, 'featureValue': 0.4375}, {'pdpValue': 0.5191935483870967, 'featureValue': 0.458333333}, {'pdpValue': 0.5484408602150537, 'featureValue': 0.479166667}, {'pdpValue': 0.548548387096774, 'featureValue': 0.5}, {'pdpValue': 0.5420430107526883, 'featureValue': 0.520833333}, {'pdpValue': 0.5919892473118279, 'featureValue': 0.541666667}, {'pdpValue': 0.6844086021505373, 'featureValue': 0.5625}, {'pdpValue': 0.7036559139784948, 'featureValue': 0.583333333}, {'pdpValue': 0.6701075268817204, 'featureValue': 0.604166667}, {'pdpValue': 0.5317204301075267, 'featureValue': 0.625}, {'pdpValue': 0.6080645161290322, 'featureValue': 0.645833333}, {'pdpValue': 0.6210322580645151, 'featureValue': 0.666666667}, {'pdpValue': 0.6676451612903218, 'featureValue': 0.6875}, {'pdpValue': 0.6120967741935484, 'featureValue': 0.708333333}, {'pdpValue': 0.6014516129032258, 'featureValue': 0.729166667}, {'pdpValue': 0.6091935483870968, 'featureValue': 0.75}, {'pdpValue': 0.6259677419354839, 'featureValue': 0.770833333}, {'pdpValue': 0.5859677419354838, 'featureValue': 0.791666667}, {'pdpValue': 0.6933870967741935, 'featureValue': 0.8125}, {'pdpValue': 0.6475806451612903, 'featureValue': 0.833333333}, {'pdpValue': 0.5980645161290322, 'featureValue': 0.854166667}, {'pdpValue': 0.6546774193548387, 'featureValue': 0.875}, {'pdpValue': 0.6683870967741935, 'featureValue': 0.895833333}, {'pdpValue': 0.6838709677419355, 'featureValue': 0.916666667}, {'pdpValue': 0.6258064516129033, 'featureValue': 0.9375}, {'pdpValue': 0.6258064516129033, 'featureValue': 0.958333333}, {'pdpValue': 0.7019354838709677, 'featureValue': 0.979166667}, {'pdpValue': 0.7019354838709677, 'featureValue': 1}]}",5
1,742861096009097216,1,1,may the love we are all sending to orlando lead us into urgent action against gun violence <hashtag> we are orlando </hashtag> <url> via <user>,may the love we are all sending to orlando lead us into urgent action against gun violence <hashtag> we are orlando </hashtag> <url> via <user>,User1,0.791666667,1,sending,1.012117904,0.5625,1,orlando lead us into urgent action against gun violence,3.72089842,1,1,to orlando lead us into urgent action against gun,2.674640609,2,1,orlando lead us into urgent action against gun violence,3.015031464,3,0,sending to orlando lead us into urgent action against,3.499559657,2,0,may,0.772942887,1,0,may,1.075511926,0,0.0,"{'feature': 'dominance', 'values': [{'pdpValue': 0.5930645161290322, 'featureValue': 0}, {'pdpValue': 0.5930645161290322, 'featureValue': 0.020833333}, {'pdpValue': 0.5930645161290322, 'featureValue': 0.041666667}, {'pdpValue': 0.5462903225806451, 'featureValue': 0.0625}, {'pdpValue': 0.5366129032258065, 'featureValue': 0.083333333}, {'pdpValue': 0.5366129032258065, 'featureValue': 0.104166667}, {'pdpValue': 0.5366129032258065, 'featureValue': 0.125}, {'pdpValue': 0.5366129032258065, 'featureValue': 0.145833333}, {'pdpValue': 0.5417741935483871, 'featureValue': 0.166666667}, {'pdpValue': 0.6327419354838709, 'featureValue': 0.1875}, {'pdpValue': 0.6243548387096775, 'featureValue': 0.208333333}, {'pdpValue': 0.6543548387096774, 'featureValue': 0.229166667}, {'pdpValue': 0.6517741935483871, 'featureValue': 0.25}, {'pdpValue': 0.5293010752688172, 'featureValue': 0.270833333}, {'pdpValue': 0.5341397849462365, 'featureValue': 0.291666667}, {'pdpValue': 0.5904301075268815, 'featureValue': 0.3125}, {'pdpValue': 0.5623924731182796, 'featureValue': 0.333333333}, {'pdpValue': 0.5236559139784946, 'featureValue': 0.354166667}, {'pdpValue': 0.45672043010752683, 'featureValue': 0.375}, {'pdpValue': 0.5092365591397845, 'featureValue': 0.395833333}, {'pdpValue': 0.536881720430107, 'featureValue': 0.416666667}, {'pdpValue': 0.5485483870967739, 'featureValue': 0.4375}, {'pdpValue': 0.5779569892473119, 'featureValue': 0.458333333}, {'pdpValue': 0.6124731182795697, 'featureValue': 0.479166667}, {'pdpValue': 0.5681182795698927, 'featureValue': 0.5}, {'pdpValue': 0.5651612903225807, 'featureValue': 0.520833333}, {'pdpValue': 0.5856451612903226, 'featureValue': 0.541666667}, {'pdpValue': 0.5698387096774193, 'featureValue': 0.5625}, {'pdpValue': 0.7222580645161291, 'featureValue': 0.583333333}, {'pdpValue': 0.7053225806451613, 'featureValue': 0.604166667}, {'pdpValue': 0.6561290322580645, 'featureValue': 0.625}, {'pdpValue': 0.6651612903225806, 'featureValue': 0.645833333}, {'pdpValue': 0.715, 'featureValue': 0.666666667}, {'pdpValue': 0.6714516129032259, 'featureValue': 0.6875}, {'pdpValue': 0.672258064516129, 'featureValue': 0.708333333}, {'pdpValue': 0.6729032258064516, 'featureValue': 0.729166667}, {'pdpValue': 0.6770967741935484, 'featureValue': 0.75}, {'pdpValue': 0.6812903225806451, 'featureValue': 0.770833333}, {'pdpValue': 0.694516129032258, 'featureValue': 0.791666667}, {'pdpValue': 0.7209677419354839, 'featureValue': 0.8125}, {'pdpValue': 0.6559677419354839, 'featureValue': 0.833333333}, {'pdpValue': 0.6559677419354839, 'featureValue': 0.854166667}, {'pdpValue': 0.7061290322580646, 'featureValue': 0.875}, {'pdpValue': 0.7043548387096774, 'featureValue': 0.895833333}, {'pdpValue': 0.7043548387096774, 'featureValue': 0.916666667}, {'pdpValue': 0.6601612903225806, 'featureValue': 0.9375}, {'pdpValue': 0.687741935483871, 'featureValue': 0.958333333}, {'pdpValue': 0.687741935483871, 'featureValue': 0.979166667}, {'pdpValue': 0.687741935483871, 'featureValue': 1}]}",5
2,742025003428904960,2,1,"this is very upsetting . but even after this , no gun control measures will be passed : <url>","this is very upsetting . but even after this , no gun control measures will be passed : <url>",User2,0.270833333,1,passed,1.917334223,0.020833333,1,no gun control measures will be passed,3.717082285,2,1,no gun control measures will be passed,2.858902763,1,1,no gun control measures will be passed,2.909628192,2,0,no gun control measures will be passed,3.39239014,2,0,this,0.458372016,1,0,this,0.385172276,0,0.4666666667,"{'feature': 'care', 'values': [{'pdpValue': 0.5249623655913978, 'featureValue': 0}, {'pdpValue': 0.575, 'featureValue': 1}, {'pdpValue': 0.6303763440860215, 'featureValue': 2}, {'pdpValue': 0.6393010752688172, 'featureValue': 3}]}",7
3,779584496719032320,3,0,sad times irrespective of gun control issues . <hashtag> seattle </hashtag> <url>,sad times irrespective of gun control issues . <hashtag> seattle </hashtag> <url>,User3,0.270833333,0,sad times irrespective of gun control issues,3.331300851,0.0625,0,sad times irrespective of gun control issues,3.704436257,0,0,sad times irrespective of gun control issues,3.341218199,1,0,sad times irrespective,2.587729296,2,0,seattle </hashtag>,2.238811515,2,0,sad,0.702654668,1,0,sad,1.020321298,0,0.16,"{'feature': 'fairness', 'values': [{'pdpValue': 0.5111989247311826, 'featureValue': 0}, {'pdpValue': 0.5375967741935483, 'featureValue': 1}, {'pdpValue': 0.6727419354838711, 'featureValue': 2}]}",0
4,743578109685825537,4,1,i urge my representatives to support sensible gun control measures . <user> <user> <user> <hashtag> enough </hashtag>,i urge my representatives to support sensible gun control measures . <user> <user> <user> <hashtag> enough </hashtag>,User4,0.75,1,i urge,2.701587153,0.895833333,1,urge my representatives to support sensible gun control measures,3.69446651,3,1,i,0.666253414,2,1,urge my representatives to support sensible gun control measures,3.420057779,3,0,i urge my representatives to support,2.59612436,3,0,urge my representatives to support,3.107479477,1,0,i,0.255947105,1,1.0,"{'feature': 'purity', 'values': [{'pdpValue': 0.5348817204301073, 'featureValue': 0}, {'pdpValue': 0.5809032258064515, 'featureValue': 1}, {'pdpValue': 0.5909032258064515, 'featureValue': 2}]}",8
5,743262040270114816,5,1,thank you <user> and <user> for your stalwart leadership to stop gun violence ! america has had <hashtag> enough </hashtag> <url>,thank you <user> and <user> for your stalwart leadership to stop gun violence ! america has had <hashtag> enough </hashtag> <url>,User5,0.895833333,1,had,1.110550555,0.770833333,1,<user> for your stalwart leadership to stop gun violence,3.686266632,3,1,has had,2.731160431,2,1,<user> for your stalwart leadership to stop gun violence,2.926836877,3,0,<user> for your stalwart leadership to stop gun violence,2.680985959,3,0,<user> for your stalwart leadership to stop gun violence,3.224458733,1,0,thank,0.422429304,1,1.0,"{'feature': 'authority', 'values': [{'pdpValue': 0.5712258064516127, 'featureValue': 0}, {'pdpValue': 0.6606344086021504, 'featureValue': 1}, {'pdpValue': 0.5315752688172043, 'featureValue': 2}, {'pdpValue': 0.6828387096774191, 'featureValue': 3}]}",8
6,745722572587696128,6,1,a <hashtag> got </hashtag> meme that perfectly expresses how i feel about the republicans cockblocking gun control . <url>,a <hashtag> got </hashtag> meme that perfectly expresses how i feel about the republicans cockblocking gun control . <url>,User6,0.354166667,1,cockblocking gun control,2.538371997,0.3125,1,how i feel about the republicans cockblocking gun control,3.684691145,0,1,how i feel about the republicans cockblocking gun control,2.669637248,0,1,about the republicans cockblocking gun,2.775526391,2,0,how i feel about the republicans cockblocking gun control,2.826984108,0,0,republicans cockblocking,2.279754268,1,0,a,0.462516211,0,0.4363636364,"{'feature': 'loyalty', 'values': [{'pdpValue': 0.5524623655913978, 'featureValue': 0}, {'pdpValue': 0.6318172043010754, 'featureValue': 1}, {'pdpValue': 0.5514946236559138, 'featureValue': 2}, {'pdpValue': 0.735, 'featureValue': 3}]}",6
7,749629541065166848,7,0,and somehow gun control is going to stop isis ? <url>,and somehow gun control is going to stop isis ? <url>,User7,0.479166667,0,somehow gun control is,3.017838771,0.270833333,0,and somehow gun control is going to stop isis,3.684344575,2,0,and somehow gun control is going to stop isis,3.174300809,1,0,somehow,1.267180014,2,0,and somehow gun control is going to stop isis,3.423739241,2,1,and somehow,2.418554941,0,0,and somehow gun control is going to stop isis,3.059522915,0,0.0,,4
8,751262297452998656,8,0,and at the end of the day the government will want to use this situation to push forth gun control laws smh just watch,and at the end of the day the government will want to use this situation to push forth gun control laws smh just watch,User8,0.333333333,0,situation to push forth gun control laws smh just,3.289004652,0.375,0,situation to push forth gun control laws smh just,3.684201578,0,0,situation to push forth gun control laws smh just,3.144523376,0,1,situation to push forth gun control laws smh just,2.70356536,2,0,and,0.529937763,2,0,and,0.607389843,1,0,and,0.52530651,0,0.3095238095,,0
9,745834159353008128,9,1,<user> thank you for standing up against gun violence . be of courage and faith as you represent me as a woman who wants peace .,<user> thank you for standing up against gun violence . be of courage and faith as you represent me as a woman who wants peace .,User9,0.958333333,1,standing up against,3.000385216,0.770833333,1,<user> thank you for standing up against gun violence,3.669494052,3,1,<user>,0.61337091,2,1,<user> thank you for standing up against gun violence,3.466032735,3,0,<user> thank you for standing up against,3.468545829,3,0,<user> thank you for standing up against gun violence,3.553464306,1,0,<user>,0.193013762,1,1.0,,8
